Name,BSE Code,NSE Code,ISIN Code,Industry Group
Aavas Financiers,541988,AAVAS,INE216P01012,Finance
ABB India,500002,ABB,INE117A01022,Electrical Equipment
Acc,500410,ACC,INE012A01025,Cement
